,P_STATUS,P_YEAR,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_MASS,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_LOG_G,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,S_RADIUS_EST,S_RA_H,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
1507,3.0,2014.0,5.535309,-2.9e-05,2.9e-05,289.38799,50.59705,14.514,1125.74,-23.8,23.8,0.8955,0.84,-0.42,0.42,5787.0,-200.0,200.0,4.56,0.06,0.06,0.06,0.060000002,196.95121,196.95121,196.95121,954.4091,954.4091,954.4091,0.84,19.292534,0.70902435,0.63157685,1.4876207,0.79997017,1.4103997,0.84591607,1.4103997,0.77221625,1.4103997,2.2734968,0.39232123660000007,0.0,0.0,0.0,0.29191385,1.35641,2.4091308,0.06
1508,3.0,2011.0,45.294301,-4.8e-05,4.8e-05,285.67939,50.241299,10.94,186.5,-0.81,0.81,0.91,1.06,-0.01,0.01,5627.0,-44.0,44.0,4.35,0.24092715,0.24092715,0.24092715,0.24092716,17.387476,17.387476,17.387476,520.24037,520.24037,520.24037,1.06,19.045294,1.0092716,0.76073953,1.7998404,0.96357486,1.7064121,1.0190674,1.7064121,0.93016629,1.7064121,2.7124878,0.44705908,0.0,0.0,0.0,0.30816291,2.3541,17.162712,0.24092715
1509,3.0,2014.0,1032.3,-8.9,8.9,25.471457,2.704376,7.84,135.89,-1.34,1.34,1.01,1.97,-0.15620000000000003,0.1657000000000001,4912.0,-100.01,100.0,3.19,2.0275111,1.74468,2.27532,2.0144032,0.50545133,0.39099352,0.66500202,214.10921,201.45929,230.06505,1.97,1.6980972,2.0242052,1.1189782,2.7150605,1.4173533,2.57412,1.5001093,2.57412,1.368304,2.57412,3.8414133,0.46286917,1.0,1.0,0.0,0.34748821,13.528384,472.61024,2.01
1510,3.0,2015.0,15.299,-0.0033,0.0032,20.496313,76.710281,7.185,17.0,-0.01,0.01,0.65,0.78,-0.01,0.01,5131.0,-14.0,14.0,4.46,0.11394455,0.1022868,0.1245132,0.11353657,29.522652,24.369977,36.1116,592.78678,566.05508,624.53473,0.78,1.3664209,0.37782084,0.47835658,1.1506998,0.60590764,1.0909671,0.64112723,1.0909671,0.58493193,1.0909671,1.6596126,0.39962769,0.0,0.0,0.0,0.26267992,2.7219203,7.8598865,0.1134
1511,3.0,2014.0,5.766193,-1.6e-05,1.6e-05,291.11188,39.949104,14.247,1058.58,-19.99,19.99,1.1257000000000001,1.22,-0.24,0.24,6050.0,-137.0,137.0,4.3,0.064,0.064,0.064,0.064000002,436.18413,436.18413,436.18413,1164.2932,1164.2932,1164.2932,1.22,19.40746,1.7866102,0.98666217,2.3092649,1.2497205,2.1893934,1.3212,2.1893934,1.2063139,2.1893934,3.6089318,0.47333635260000007,0.0,0.0,0.0,0.24097214,2.34289,6.0932651,0.064
1512,3.0,2018.0,6.9226,-0.0007,0.0007,14.517821,-0.193155,13.507,121.0,-19.0,19.0,0.65,0.63,-0.06,0.06,4079.0,-70.0,70.0,4.65,0.0616,0.0616,0.0616,0.061600002,25.943176,25.943176,25.943176,574.97729,574.97729,574.97729,0.63,0.96785478,0.098442938,0.25402356,0.64043789,0.32176044,0.60718802,0.34089021,0.60718802,0.31061499,0.60718802,0.84714169,0.39962769,0.0,0.0,0.0,0.31881468,1.72634,3.6281006,0.0616
1513,3.0,2014.0,28.986769,-0.000162,0.000162,287.78083,47.629913,14.282,914.18,-14.09,14.09,1.0670999999999993,1.15,-0.22,0.22,5888.0,-113.0,113.0,4.33,0.187,0.187,0.187,0.187,40.726053,40.726053,40.726053,643.59549,643.59549,643.59549,1.15,19.18539,1.4241493,0.88965228,2.0900936,1.1268515,1.9815988,1.1914657,1.9815988,1.0877401,1.9815988,3.2221187,0.4746758062999998,0.0,0.0,0.0,0.26386751,2.45499,6.5964694,0.187
1514,3.0,2016.0,3.744439,-1.366e-05,1.366e-05,291.46732,50.759489,12.71,513.0,-58.09,90.07,1.14,1.25,-0.14,0.22,5961.0,-59.95,75.23,4.3,0.049287373,0.049287373,0.049287373,0.049287375,727.63538,727.63538,727.63538,1323.1935,1323.1935,1323.1935,1.25,19.431156,1.7676047,0.98674588,2.3141309,1.2498296,2.1940067,1.3214131,2.1940067,1.2064362,2.1940067,3.5896851,0.47044295,0.0,0.0,0.0,0.29421329,1.08737,1.3121437,0.049287373
1515,3.0,2014.0,36.277108,-0.000173,0.000173,291.63896,42.436317,15.599,882.65,-26.34,26.34,0.8365000000000008,0.8,-0.05,0.05,5100.0,-100.0,100.0,4.56,0.202,0.202,0.202,0.20200001,9.5070677,9.5070677,9.5070677,447.35939,447.35939,447.35939,0.8,19.442599,0.38792639,0.48546841,1.1691812,0.6149162,1.108489,0.65068163,1.108489,0.59363,1.108489,1.6816609,0.43775824419999976,0.0,0.0,0.0,0.32588481,3.0267,9.4118347,0.202
1516,3.0,2012.0,3630.0,-12.0,12.0,183.77736,-7.257327,7.972,34.12,-0.08,0.08,0.97,1.62,-0.05,0.05,5362.0,-29.0,29.0,4.41,5.3408873,1.96452,7.21548,4.8017094,0.11247406,0.037333221,0.50363164,137.2788,111.9873,214.62147,1.62,12.251825,1.9436851,1.0717915,2.5570189,1.3575715,2.4242854,1.4361303,2.4242854,1.3105458,2.4242854,3.764235,0.53355566,0.0,0.0,0.0,0.1749498,12.462001,3054.3271,4.59
